Corriente (2.50 +- 0.03) A

Radio a(cm), Campo magnetico(miliTesla +- 0.02)


50,0.13
49,0.15
48,0.18
47,0.20
46,0.21
45,0.23
44,0.24
43,0.24
42,0.26
41,0.30
40,0.31
39,0.32
38,0.33
37,0.35
36,0.38
35,0.43
34,0.45
33,0.49
32,0.51
31,0.55
30,0.59
29,0.64
28,0.68
27,0.76
26,0.80
25,0.86
24,0.87
23,0.92
22,0.97
21,0.99
20,1.15
19,1.24
18,1.32
17,1.39
16,1.45
15,1.52
14,1.62
13,1.64
12,1.70
11,1.75
10,1.80
9,1.83
8,1.84
7,1.85
6,1.85
5,1.84
4,1.86
3,1.86
2,1.87
1,1.87
0.00,1.83
-1.0,1.83
-2.0,1.83
-3.0,1.83
-4.0,1.83
-5.0,1.82
-6.0,1.82
-7.0,1.81
-8.0,1.81
-9.0,1.79
-10.0,1.76
-11.0,1.73
-12,1.74
-13,1.73
-14,1.70
-15,1.63
-16,1.55
-17,1.44
-18,1.35
-19,1.25
-20,1.14
-21,1.07
-22,0.99
-23,0.92
-24,0.85
-25,0.79
-26,0.77
-27,0.70
-28,0.65
-29,0.60
-30,0.54
-31,0.51
-32,0.47
-33,0.43
-34,0.40
-35,0.38
-36,0.37
-37,0.34
-38,0.30
-39,0.29
-40.0,0.28
-41,0.24
-42,0.24
-43,0.22
-44,0.20
-45,0.20
-46,0.18
-47,0.18
-48.0,0.17
-49.0,0.16
-50.0,0.15



